product_id,year_month,monthly_review_count
000105001X,2005-05,1
0001712896,2005-08,1
0001837397,2005-08,1
0002006995,2005-09,1
000215949X,2005-07,1
000216194X,2005-07,1
0002212269,2005-05,1
000221413X,2005-06,1
0002250357,2005-04,1
0002250381,2005-03,1
0002252015,2005-09,1
0002554755,2005-09,1
0002572168,2005-01,1
000322225X,2005-07,1
0004133455,2005-01,1
0004133595,2005-03,1
0004350162,2005-02,1
0004486870,2005-07,1
0004489799,2005-07,1
000470763X,2005-10,1
0006375219,2005-05,1
0006481558,2005-09,1
0006514006,2005-07,1
0006514642,2005-09,1
0006531202,2005-07,1
0006551386,2005-09,1
0007104065,2005-07,1
0007105584,2005-02,1
0007107927,2005-09,1
0007123477,2005-09,1
0007127596,2005-05,1
0007131844,2005-06,1
0007131844,2005-08,1
0007133103,2005-10,1
0007136129,2005-08,1
0007136471,2005-10,1
0007137346,2005-02,1
0007137508,2005-03,1
0007145160,2005-07,1
0007156588,2005-06,1
0007156588,2005-07,1
0007161026,2005-09,1
000716131X,2005-09,1
0007161506,2005-09,1
0007162200,2005-01,1
0007162200,2005-02,1
0007162200,2005-03,1
0007162200,2005-04,1
0007162200,2005-07,1
000716226X,2005-02,1
0007164653,2005-09,2
0007166761,2005-05,1
0007170580,2005-08,1
0007173415,2005-08,1
0007181418,2005-01,1
0007192932,2005-09,1
0007193440,2005-05,1
0007193602,2005-03,1
0007201869,2005-07,1
0007662394,2005-08,1
0007662394,2005-10,1
0020130961,2005-09,1
0020292651,2005-05,1
0020292651,2005-07,1
0020363613,2005-01,1
0020408811,2005-09,1
0020427859,2005-08,1
0020442807,2005-10,1
0020820852,2005-06,1
0023078103,2005-02,1
0023285192,2005-06,1
0023548568,2005-09,1
0023605103,2005-08,1
0023671300,2005-09,1
0023721103,2005-02,1
0023854502,2005-04,1
002427691X,2005-05,1
0024277800,2005-08,1
0025225804,2005-09,1
0025457950,2005-08,1
0025473905,2005-10,1
0026045702,2005-09,1
0026878577,2005-09,1
0027081400,2005-04,1
002717350X,2005-07,1
0027440702,2005-10,1
002761560X,2005-08,1
0027775305,2005-10,1
0028040503,2005-08,1
0028341759,2005-09,1
0028606884,2005-09,1
0028608208,2005-01,1
002860847X,2005-10,1
0028609980,2005-06,1
0028610105,2005-03,1
0028610105,2005-09,1
0028610105,2005-10,1
0028612345,2005-09,1
0028615441,2005-09,1
0028616820,2005-08,1
0028618483,2005-09,1
002861965X,2005-08,1
0028619757,2005-07,1
002862114X,2005-08,1
0028622618,2005-10,1
0028624513,2005-06,1
0028624513,2005-08,1
0028625048,2005-07,1
0028627385,2005-05,1
0028627717,2005-03,1
0028627717,2005-07,1
0028627717,2005-09,1
0028627717,2005-10,1
0028629035,2005-09,1
0028629299,2005-08,1
0028629299,2005-09,1
0028630238,2005-08,1
0028631226,2005-09,1
0028631528,2005-08,1
0028631900,2005-07,1
0028633504,2005-01,1
0028633784,2005-03,1
0028634063,2005-09,1
0028634691,2005-08,1
0028634713,2005-08,1
0028635264,2005-10,1
0028635299,2005-05,1
0028635299,2005-10,1
002863716X,2005-02,1
002863716X,2005-07,1
002863716X,2005-09,1
0028637623,2005-08,1
0028638425,2005-02,1
0028638662,2005-07,1
0028639073,2005-03,1
0028639332,2005-08,1
0028639421,2005-08,1
0028639839,2005-05,1
0028640004,2005-08,1
0028640004,2005-09,1
0028641418,2005-09,1
0028641515,2005-06,1
002864154X,2005-10,1
002864168X,2005-07,1
0028642104,2005-01,1
0028642279,2005-05,1
0028642279,2005-07,1
0028642279,2005-09,1
0028642384,2005-08,1
0028642414,2005-09,1
0028642643,2005-09,1
002864266X,2005-09,1
0028642759,2005-09,1
002864283X,2005-02,1
0028643143,2005-05,1
0028643275,2005-01,1
0028643518,2005-03,1
0028643747,2005-06,1
0028643771,2005-08,1
0028643801,2005-08,2
0028643992,2005-09,1
0028644190,2005-01,1
0028644417,2005-02,1
0028646851,2005-06,1
0028646851,2005-08,1
0028740912,2005-09,1
0028810813,2005-10,1
0028810988,2005-07,1
0029031400,2005-07,1
0029115744,2005-08,1
0029117062,2005-07,1
0029117062,2005-10,1
0029175518,2005-09,1
0029195551,2005-02,1
0029238374,2005-09,1
0029257506,2005-02,1
0029258502,2005-10,1
0029273722,2005-10,1
0029289386,2005-04,1
0030007194,2005-09,1
0030020786,2005-04,1
0030141710,2005-09,1
0030202868,2005-03,1
0030317169,2005-09,1
0030334888,2005-10,1
003033604X,2005-09,1
0030341795,2005-07,1
0030350840,2005-09,1
003041931X,2005-04,1
003051648X,2005-09,1
0030539498,2005-10,1
0030627737,2005-09,1
0030664810,2005-08,1
003069549X,2005-10,1
0030866154,2005-09,1
0030968356,2005-08,1
0030973694,2005-09,1
0030973694,2005-10,1
0044453817,2005-09,1
0049400320,2005-05,1
0060000651,2005-02,1
0060000708,2005-07,1
0060001496,2005-02,1
006000150X,2005-06,1
006000150X,2005-08,1
0060001534,2005-09,2
0060002050,2005-07,1
0060002050,2005-08,1
0060002069,2005-01,1
0060002077,2005-04,1
0060004339,2005-05,1
0060004533,2005-06,1
0060005688,2005-03,1
0060005696,2005-02,1
0060005696,2005-08,1
006000570X,2005-10,1
0060005726,2005-07,1
0060005777,2005-10,1
006000603X,2005-10,1
0060006366,2005-07,1
0060006617,2005-07,1
0060006641,2005-07,1
0060006641,2005-08,2
0060006773,2005-06,1
0060006781,2005-06,1
0060006927,2005-06,1
0060007192,2005-08,1
0060007737,2005-08,1
0060007737,2005-09,1
0060007753,2005-07,2
006000794X,2005-08,1
0060008024,2005-07,1
0060008032,2005-08,1
006000889X,2005-09,1
0060009241,2005-05,1
0060009241,2005-07,1
0060009268,2005-01,2
0060009268,2005-02,2
0060009268,2005-03,2
0060009764,2005-06,1
0060010088,2005-08,1
0060010266,2005-02,1
0060011564,2005-03,1
0060011602,2005-07,1
0060011939,2005-07,1
006001203X,2005-09,1
0060012358,2005-08,1
0060012358,2005-09,2
0060012382,2005-09,1
0060012781,2005-09,1
0060012854,2005-06,1
0060013125,2005-04,1
0060013133,2005-07,1
0060013168,2005-06,1
0060013508,2005-09,1
0060013788,2005-01,1
0060014016,2005-09,1
0060014091,2005-01,1
0060014342,2005-07,1
0060080957,2005-08,1
0060081570,2005-09,1
0060081716,2005-09,1
0060081961,2005-04,1
006008216X,2005-02,1
0060082216,2005-03,1
0060083298,2005-08,1
0060083816,2005-04,1
0060084480,2005-09,1
0060084499,2005-02,1
0060084537,2005-03,1
006008460X,2005-03,1
006008460X,2005-08,1
0060084669,2005-02,1
0060085460,2005-06,1
0060085460,2005-08,1
0060085495,2005-04,2
0060085495,2005-09,1
0060085630,2005-07,1
0060086246,2005-06,1
0060086270,2005-06,1
0060086645,2005-06,1
0060086645,2005-08,2
0060087439,2005-01,1
0060087641,2005-09,1
0060087706,2005-09,1
0060087714,2005-04,1
0060087722,2005-07,1
0060088664,2005-09,1
0060088834,2005-03,1
0060089466,2005-06,1
0060089466,2005-09,1
0060090251,2005-02,1
006009026X,2005-07,1
006009026X,2005-08,1
006009026X,2005-09,1
0060090324,2005-08,1
0060090367,2005-01,1
0060090367,2005-06,1
0060090367,2005-07,1
0060090375,2005-01,1
0060090375,2005-09,2
0060090383,2005-01,1
0060090383,2005-05,1
0060090383,2005-09,1
0060090731,2005-09,1
006009074X,2005-07,1
006009074X,2005-09,1
0060091290,2005-01,1
0060091290,2005-02,1
0060092645,2005-08,1
0060092785,2005-03,1
006009298X,2005-04,1
0060093021,2005-07,1
0060093625,2005-01,3
0060093625,2005-04,1
0060093684,2005-09,1
0060094338,2005-01,1
0060094710,2005-05,2
0060094710,2005-06,2
0060094710,2005-07,1
0060094710,2005-09,1
0060094869,2005-09,1
0060095563,2005-02,1
0060096098,2005-08,1
0060096128,2005-08,1
0060096136,2005-04,1
0060096195,2005-01,1
0060096594,2005-07,1
0060096861,2005-08,1
0060097728,2005-02,1
0060097884,2005-08,1
0060098902,2005-06,1
0060098910,2005-03,1
0060099186,2005-09,1
0060106387,2005-09,1
0060119713,2005-05,1
006012248X,2005-04,1
0060124121,2005-06,1
0060125985,2005-08,1
0060129425,2005-01,1
0060148454,2005-01,1
0060151544,2005-07,1
0060156805,2005-04,1
006015862X,2005-06,1
006015876X,2005-07,1
0060160012,2005-07,1
0060160667,2005-09,1
0060161922,2005-04,1
0060164026,2005-09,1
0060164549,2005-08,1
0060166037,2005-06,1
006016848X,2005-03,1
006016848X,2005-05,1
006016848X,2005-10,1
006017174X,2005-03,1
0060174099,2005-09,1
0060175869,2005-07,1
0060175966,2005-09,1
006018292X,2005-08,1
0060183721,2005-03,1
006018406X,2005-07,1
006018406X,2005-09,1
006018406X,2005-10,1
0060184728,2005-08,1
006018535X,2005-02,1
0060185481,2005-09,1
0060185511,2005-01,1
0060185511,2005-02,1
0060185511,2005-08,1
0060185759,2005-07,1
0060186631,2005-07,1
0060186682,2005-09,1
0060188766,2005-02,1
0060188782,2005-06,1
0060188820,2005-05,1
0060191279,2005-07,1
0060191449,2005-08,1
0060191449,2005-10,1
0060192267,2005-02,1
0060192372,2005-05,1
006019250X,2005-01,1
0060193298,2005-01,1
0060193395,2005-05,1
0060193395,2005-07,1
0060193395,2005-08,1
0060193395,2005-09,1
0060193611,2005-02,1
0060193611,2005-07,1
0060194111,2005-04,1
0060194332,2005-09,1
0060194464,2005-09,1
0060194863,2005-08,1
0060195223,2005-10,1
0060195347,2005-04,2
0060195347,2005-06,1
0060195347,2005-08,1
0060195398,2005-07,1
0060195584,2005-05,1
0060195681,2005-02,1
0060195878,2005-05,1
0060195916,2005-05,2
0060196483,2005-07,1
0060196742,2005-06,1
0060196807,2005-06,1
0060196823,2005-10,1
0060197358,2005-08,1
0060197862,2005-09,1
0060198028,2005-08,1
0060198214,2005-01,1
0060198257,2005-09,1
0060198273,2005-07,1
0060198281,2005-07,1
0060198311,2005-03,2
0060198311,2005-04,1
0060198311,2005-05,1
0060198311,2005-07,1
0060198400,2005-05,1
0060198524,2005-03,1
006019877X,2005-05,1
0060198796,2005-09,1
0060198834,2005-09,1
0060199709,2005-05,1
0060209305,2005-10,1
0060222883,2005-06,1
0060239638,2005-06,1
0060240792,2005-02,1
0060241187,2005-10,1
0060244054,2005-09,1
006024528X,2005-09,1
0060245603,2005-09,1
0060245867,2005-09,1
0060246103,2005-07,1
0060255005,2005-01,1
0060255005,2005-09,1
0060255234,2005-09,1
0060256532,2005-05,1
0060256532,2005-07,1
0060256532,2005-08,2
0060256532,2005-09,2
0060256656,2005-08,1
0060256656,2005-09,1
0060256710,2005-03,1
0060256710,2005-09,1
0060257148,2005-03,1
0060258144,2005-05,1
0060266686,2005-07,1
0060266864,2005-08,1
0060266864,2005-09,2
0060268905,2005-10,1
006027087X,2005-08,1
0060271396,2005-09,1
0060274751,2005-09,1
0060275103,2005-10,1
006027994X,2005-06,1
0060280603,2005-08,1
0060280921,2005-08,1
0060281375,2005-03,1
0060281375,2005-06,1
0060281375,2005-08,1
0060281375,2005-09,1
0060283181,2005-07,1
0060283262,2005-10,2
0060283289,2005-09,1
006028384X,2005-03,1
006028479X,2005-10,1
006028515X,2005-04,1
0060285494,2005-09,1
0060286229,2005-10,1
0060286857,2005-02,1
0060287209,2005-06,1
0060287616,2005-09,1
0060289007,2005-04,1
006028935X,2005-01,1
006028935X,2005-09,1
0060291613,2005-07,1
0060291702,2005-04,1
0060291702,2005-05,1
0060291702,2005-08,1
0060295864,2005-08,2
0060295988,2005-07,1
0060296054,2005-09,1
0060296240,2005-05,1
0060298855,2005-08,1
0060391448,2005-10,1
0060391626,2005-07,1
0060391685,2005-04,1
0060391685,2005-07,1
0060391685,2005-10,1
0060391693,2005-01,1
0060392185,2005-06,1
0060392320,2005-01,1
0060392495,2005-04,1
0060392991,2005-06,1
0060393114,2005-03,1
0060393238,2005-03,1
006039403X,2005-09,1
0060394056,2005-09,1
0060394412,2005-04,1
0060501553,2005-05,1
0060502436,2005-05,1
0060502436,2005-06,1
0060504153,2005-07,1
0060504153,2005-09,2
0060505109,2005-10,1
0060505257,2005-09,1
0060505346,2005-08,1
0060505389,2005-08,1
0060505516,2005-03,1
0060505540,2005-03,1
0060505540,2005-09,1
0060505621,2005-01,1
0060505826,2005-09,1
0060505826,2005-10,1
0060505877,2005-03,1
0060505877,2005-05,1
0060505915,2005-06,1
0060505915,2005-08,1
0060505982,2005-04,1
0060506083,2005-02,1
0060506083,2005-04,1
0060506083,2005-05,1
0060506679,2005-07,1
0060506717,2005-08,1
0060506725,2005-08,1
0060507004,2005-08,1
0060507020,2005-08,1
0060507225,2005-08,1
0060507330,2005-09,1
0060508205,2005-08,1
0060508221,2005-08,1
0060508248,2005-01,1
0060508957,2005-02,1
0060509058,2005-04,1
0060509309,2005-01,1
0060509406,2005-04,1
0060509406,2005-05,1
0060509406,2005-08,1
0060509414,2005-01,2
0060509414,2005-03,3
0060509414,2005-07,1
0060509554,2005-02,2
0060510242,2005-07,1
0060512806,2005-01,1
0060512822,2005-09,1
0060513314,2005-08,1
0060513632,2005-09,1
006051373X,2005-09,2
0060513810,2005-05,1
0060513926,2005-04,1
0060513926,2005-10,1
0060514337,2005-05,1
006051471X,2005-09,2
0060514965,2005-10,1
0060515066,2005-03,1
006051518X,2005-10,1
0060515597,2005-05,1
0060516054,2005-09,1
0060516291,2005-01,1
0060517573,2005-07,1
0060517573,2005-08,1
0060517638,2005-01,1
0060517670,2005-08,1
0060517808,2005-01,1
0060518243,2005-09,1
0060520108,2005-08,1
0060520221,2005-07,1
0060520221,2005-08,1
0060520469,2005-04,1
0060520515,2005-08,1
0060520736,2005-01,1
0060520752,2005-02,1
0060520841,2005-08,1
0060520868,2005-03,1
0060521546,2005-09,1
0060521600,2005-02,1
006052183X,2005-01,1
0060522275,2005-08,1
0060522593,2005-08,1
0060522755,2005-06,1
0060522852,2005-05,1
0060523395,2005-09,1
0060523506,2005-04,1
0060523867,2005-02,1
0060523867,2005-08,1
0060523867,2005-09,1
0060523875,2005-02,1
0060523875,2005-03,3
0060523875,2005-04,3
0060523875,2005-08,2
0060523875,2005-09,1
006052393X,2005-01,1
006052393X,2005-08,1
0060524014,2005-05,1
0060524073,2005-05,1
0060524073,2005-08,1
0060524111,2005-04,1
0060524111,2005-05,1
0060524235,2005-04,1
0060524308,2005-07,1
0060524421,2005-05,1
0060524448,2005-04,1
0060524448,2005-07,2
0060524448,2005-08,2
0060525045,2005-02,1
0060525355,2005-07,1
0060525509,2005-09,1
0060526122,2005-06,1
0060526556,2005-02,1
006052720X,2005-05,1
0060527242,2005-08,1
0060527250,2005-08,1
0060527269,2005-09,1
0060527293,2005-01,1
0060527587,2005-08,1
006052782X,2005-03,1
0060527870,2005-02,1
0060527978,2005-10,1
0060528079,2005-05,1
0060528192,2005-09,1
0060528370,2005-03,1
0060528370,2005-08,1
0060528370,2005-09,4
0060528524,2005-02,1
0060529148,2005-08,1
0060529164,2005-10,1
0060529385,2005-02,1
0060529385,2005-04,1
0060529709,2005-08,1
006052992X,2005-07,1
0060530340,2005-01,1
0060530340,2005-08,1
0060530383,2005-04,1
0060530405,2005-04,1
006053043X,2005-08,1
0060530472,2005-09,1
0060530499,2005-08,1
0060530510,2005-02,1
0060530510,2005-08,1
0060530510,2005-10,1
0060530693,2005-01,1
0060530758,2005-06,1
0060530790,2005-05,1
0060530790,2005-08,1
0060531126,2005-01,1
0060531177,2005-07,1
0060531231,2005-01,1
006053124X,2005-07,1
006053124X,2005-08,3
0060533072,2005-03,1
0060533226,2005-09,2
0060534214,2005-10,1
0060534249,2005-03,1
0060534249,2005-08,1
0060535377,2005-08,1
0060535547,2005-10,1
0060535571,2005-10,1
0060535679,2005-09,1
0060536659,2005-04,1
0060536713,2005-06,1
0060536799,2005-05,1
0060536934,2005-07,1
0060536993,2005-01,1
0060536993,2005-04,1
0060536993,2005-09,1
0060536993,2005-10,1
0060537183,2005-09,1
0060537361,2005-07,1
0060537388,2005-09,1
0060537906,2005-02,1
0060537906,2005-06,1
0060537906,2005-08,1
006053821X,2005-07,1
0060538252,2005-09,1
0060539054,2005-06,1
0060539054,2005-08,1
0060539097,2005-01,1
0060539097,2005-03,1
0060539097,2005-10,1
0060539283,2005-04,1
0060539577,2005-10,1
0060539801,2005-08,1
0060539836,2005-08,1
0060540176,2005-09,1
0060540222,2005-07,1
0060540451,2005-09,1
006054094X,2005-08,2
0060540974,2005-01,3
0060540974,2005-03,1
0060540974,2005-09,1
0060540990,2005-05,1
0060541490,2005-02,1
0060541490,2005-08,1
