product_id,total_reviews,avg_star_rating
000105001X,1,1.0
0001712896,1,5.0
0001837397,1,5.0
0002006995,1,5.0
000215949X,1,5.0
000216194X,1,5.0
0002212269,1,4.0
000221413X,1,2.0
0002250357,1,5.0
0002250381,1,3.0
0002252015,1,3.0
0002554755,1,5.0
0002572168,1,4.0
000322225X,1,5.0
0004133455,1,4.0
0004133595,1,4.0
0004350162,1,5.0
0004486870,1,5.0
0004489799,1,4.0
000470763X,1,4.0
0006375219,1,2.0
0006481558,1,5.0
0006514006,1,5.0
0006514642,1,3.0
0006531202,1,5.0
0006551386,1,5.0
0007104065,1,5.0
0007105584,1,3.0
0007107927,1,5.0
0007123477,1,4.0
0007127596,1,4.0
0007131844,2,5.0
0007133103,1,5.0
0007136129,1,5.0
0007136471,1,4.0
0007137346,1,5.0
0007137508,1,4.0
0007145160,1,5.0
0007156588,2,5.0
0007161026,1,3.0
000716131X,1,5.0
0007161506,1,5.0
0007162200,5,4.0
000716226X,1,5.0
0007164653,2,5.0
0007166761,1,5.0
0007170580,1,4.0
0007173415,1,5.0
0007181418,1,5.0
0007192932,1,5.0
0007193440,1,5.0
0007193602,1,5.0
0007201869,1,4.0
0007662394,2,5.0
0020130961,1,5.0
0020292651,2,3.0
0020363613,1,5.0
0020408811,1,5.0
0020427859,1,5.0
0020442807,1,5.0
0020820852,1,5.0
0023078103,1,5.0
0023285192,1,5.0
0023548568,1,5.0
0023605103,1,1.0
0023671300,1,4.0
0023721103,1,1.0
0023854502,1,1.0
002427691X,1,2.0
0024277800,1,5.0
0025225804,1,5.0
0025457950,1,5.0
0025473905,1,4.0
0026045702,1,5.0
0026878577,1,2.0
0027081400,1,5.0
002717350X,1,3.0
0027440702,1,5.0
002761560X,1,5.0
0027775305,1,5.0
0028040503,1,5.0
0028341759,1,5.0
0028606884,1,5.0
0028608208,1,5.0
002860847X,1,5.0
0028609980,1,5.0
0028610105,3,3.33
0028612345,1,5.0
0028615441,1,3.0
0028616820,1,1.0
0028618483,1,5.0
002861965X,1,2.0
0028619757,1,3.0
002862114X,1,5.0
0028622618,1,5.0
0028624513,2,4.5
0028625048,1,5.0
0028627385,1,2.0
0028627717,4,4.75
0028629035,1,4.0
0028629299,2,4.0
0028630238,1,5.0
0028631226,1,5.0
0028631528,1,5.0
0028631900,1,4.0
0028633504,1,5.0
0028633784,1,5.0
0028634063,1,5.0
0028634691,1,4.0
0028634713,1,5.0
0028635264,1,4.0
0028635299,2,3.5
002863716X,3,4.67
0028637623,1,5.0
0028638425,1,5.0
0028638662,1,2.0
0028639073,1,2.0
0028639332,1,4.0
0028639421,1,5.0
0028639839,1,5.0
0028640004,2,5.0
0028641418,1,4.0
0028641515,1,4.0
002864154X,1,2.0
002864168X,1,5.0
0028642104,1,5.0
0028642279,3,4.67
0028642384,1,5.0
0028642414,1,5.0
